timestamp,random_id,user_id,campaign_id,group_id,ad_id,url_hash,domain_hash,zone_id,feedtag,clicked
1649785352797902,2320347770,937,59,7751,31998,16594798157065964581,312204679170904088,5470,1,false
1649785352798186,3339103949,4593,739,205,96148,16817926543743970086,16998124278590009912,6507,1,false
1649785352798572,1069434161,2531,793,9027,94063,3626638287490229743,17468284379125814,3561,1,false
1649785352798865,3246734886,921,41,7675,24616,17080766814823713737,15098692746547966753,7325,6,false
1649785352799191,354836675,4419,492,1809,70035,15331428315917139905,17217219427078897998,3917,3,false
1649785352799501,3059422519,1937,4,313,5959,2954207207896641302,12143636539597483169,8355,2,false
1649785352799922,1559657740,4039,587,7391,91223,9149048143967544436,5537994767571777605,4776,3,false
1649785352800434,2693827373,2841,509,9620,55851,4385828772399517043,52073132326677306,1887,2,false
1649785352800829,1991184473,3588,321,2618,14448,17755973502426798019,6618916319081223506,5510,3,false
1649785352801288,709895607,331,82,5522,20534,3784871833652214243,15063063014997187156,2286,2,false
1649785352801575,1317560092,2941,651,7318,306,5670503412278653308,14564853315980782805,6778,4,false
1649785352801885,3319103576,594,663,7366,97719,582554355182977331,11329052983041404095,3139,6,false
1649785352802157,3380294903,3054,245,2657,39905,17056308229252446806,10080174161591035364,6975,2,false
1649785352802466,2600353355,277,360,7300,56490,6795731361672613124,12845763846335981737,5101,6,false
1649785352802741,566209957,1774,492,5527,83997,10054564880999123372,3271812197177776359,5191,6,false
1649785352803023,3739967858,4976,921,8667,57417,13254472752734699817,12987983757835322082,3769,5,false
1649785352803298,3037876830,1070,696,2838,25637,1147645021530809265,8902462471278649552,5514,4,false
1649785352803607,2090364283,475,645,3987,55165,16262515840954213919,17299571980525250311,9707,4,false
1649785352803976,881809935,2565,809,1596,3889,5415254238481330094,10169801489520318669,8463,3,false
1649785352804259,2446435889,1158,70,5855,41651,4557080457108230978,7978945906312476612,6935,3,false
1649785352804552,257975078,2885,690,1705,63873,14192832372333566024,13839430541074380353,4321,1,false
1649785352804844,3227781964,308,221,9180,44939,9480726928780321614,6979217500164195144,1487,1,false
1649785352805127,3384923024,1137,16,7875,55435,11254916699164723737,17475615673469047030,1325,6,false
1649785352805432,3631655339,2439,129,5944,51596,11510219025557748902,13128340510545450969,9483,4,false
1649785352805717,717119814,4502,185,7004,76569,17893076788121541858,1695518799089823751,8475,3,false
1649785352805996,2330287583,2820,191,5432,96550,3177850851947208900,15423959501295671909,2430,5,false
1649785352806264,1546796400,52,237,5659,46416,17984378367207379735,17725666728399625476,4280,6,false
1649785352806543,2744124922,1674,732,6349,98811,15770458842700289475,16782175623804645120,5241,4,false
1649785352806814,2611596580,4973,804,2688,63429,11302529794482183530,127307924887517698,7013,5,false
1649785352807098,3569588357,1995,537,2625,78898,594176789651804875,15423166050489213207,7415,3,false
1649785352807369,3425507490,969,887,972,80450,5378093581363862230,4830252707685763893,5759,1,false
1649785352807727,2613804246,1010,238,4124,58405,12897301504582510274,880655053966578768,3878,6,false
1649785352808008,3221140677,3377,271,9552,91558,5730264323790825693,14169830554614550511,5920,3,false
1649785352808300,1304751937,1070,472,5074,83598,8769434539721215255,2643135562933373238,1356,3,false
1649785352808825,521130939,47,21,4075,2865,7794002030599053291,4006743506485959177,6438,4,false
1649785352809488,3583373653,480,188,3637,14099,4009499234366611227,3328352111953920413,8056,3,false
1649785352809818,3529819251,1319,481,7449,18436,17403221516182093171,18426455750178253372,6065,5,false
1649785352810101,3063425687,3,391,2458,12833,8304921894663222714,16476502106955259831,5084,6,false
1649785352810392,709764578,3575,784,4060,55893,17067985586277796529,15197251065114036693,2540,2,false
1649785352810800,2471630260,4252,758,8049,57834,14896542683864544183,11439507949459258875,2970,3,false
1649785352811211,3490651979,121,402,6172,59095,9328442282890360318,5952832764024207768,3080,3,false
1649785352811506,2733301133,2445,130,3667,76335,1593501306791464975,3705279925916067094,5280,6,false
1649785352811959,158984343,2638,783,2993,7140,2456376894920894830,820072827285676941,6736,2,false
1649785352812365,1957301458,2048,652,7070,34678,3641659555090738742,6199616096311639986,3521,2,false
1649785352812658,2945029641,3060,244,3911,64140,5714855257717509746,15415683906390852866,4258,4,false
1649785352812971,1500200697,1975,993,471,3756,4787854101668540370,7575905963293915026,6873,6,false
1649785352813253,1665154611,2748,564,7555,37921,7905877741412808297,1921956746373870756,8069,2,false
1649785352813536,3322820983,1550,773,1485,54358,2813706494152386747,539230084760981710,1182,6,false
1649785352813817,1567607318,4852,736,7278,39110,7295350524904959640,2615391085007711422,8401,2,false
1649785352814110,3868762108,1450,205,2171,67081,10571430422316501888,10302200462649826569,8647,5,false
1649785352814413,2849877892,4484,774,6948,85362,1757494331550551562,222075333281746076,9926,4,false
1649785352814786,3058428682,534,907,8927,38963,2148885329281472872,3886117323600322945,3842,2,false
1649785352815212,579671354,4648,977,8494,73410,11610795424331743019,1166948456916157170,2487,3,false
1649785352815517,1987743722,4129,923,7313,3708,16819259529587223311,2350712849447631539,6487,3,false
1649785352815942,4143826552,3788,179,8871,79453,16764541039442668540,9570452043125224589,2509,1,false
1649785352816409,4062148740,3990,653,1601,28482,16533284218256234419,3233062859526479130,6564,3,false
1649785352816762,4129086782,2730,474,5249,72896,2928564954801340844,12275749769645520541,8570,3,false
1649785352817072,4104485722,3357,979,5897,60235,7190325440581749186,7222898709093446318,5487,5,false
1649785352817361,3094466035,370,739,8065,31277,4976316951803949734,8367866442039846760,3472,1,false
1649785352817658,1417555883,3375,332,1035,75693,6108148797505529077,5257124029944925995,7038,6,false
1649785352817938,31517797,3069,749,2727,70734,3769120634503704733,8224616243393186548,5183,4,false
1649785352818251,571298689,183,915,9814,81025,3784070820819275335,16478666880799191592,8641,1,false
1649785352818571,1097639454,213,481,2198,93428,9036972618717004857,2838812258196272152,9812,2,false
1649785352818861,2639643801,1780,386,7005,81878,1797639460062252817,8068338014510391591,7119,2,false
1649785352819201,657404359,2622,8,4352,99947,1800874055985484112,6431518548384604658,4388,6,false
1649785352819509,2836173178,4100,966,5241,60911,1062680526475470910,12130748598118871838,2599,6,false
1649785352819943,351516616,1760,655,5396,429,7807250148551473210,3343321709834483312,7285,1,false
1649785352820272,987986766,3641,589,841,80636,10005499242266032773,1486632287547635528,6507,5,false
1649785352820553,2966694069,3746,945,5360,69157,4625384864772895571,4229822748712054046,2765,3,false
1649785352820940,1058806562,2641,245,820,7332,13336825387391453649,16838488578806237085,1008,6,false
1649785352821249,684177811,2094,469,6811,86676,11507299529084345202,17933978898220516363,4052,5,false
1649785352821532,979291480,265,992,3714,70326,11064431445264718412,16434645842698389314,7008,2,false
1649785352821817,176747626,2958,944,9653,49424,10477975807142151811,13242414186760326703,1108,1,false
1649785352822142,4244541647,1132,493,1479,83173,17955298408407682939,11076791899189091374,3080,1,false
1649785352822438,2950945190,3881,194,4749,11595,9149052588313070254,11766626337694848170,4578,3,false
1649785352822776,1746084330,3651,553,6250,24549,17235903286593849766,17091937719499052979,2792,5,false
1649785352823060,4134444659,1983,323,145,91897,10439791131981912530,14154969437537930736,5768,5,false
1649785352823340,3463729368,2055,26,7936,80609,18443980725829051871,423567715317575391,4861,5,false
1649785352823779,2822584307,2960,24,1398,2144,10624662688342064557,13406309187570705235,2087,2,false
1649785352824118,3372354178,2594,90,9517,89622,3366442309634903373,2014206594145159604,4041,1,false
1649785352824428,2021931055,2014,213,562,66476,6471854922465769881,7393949470016361606,6690,5,false
1649785352824737,242386005,4829,730,9832,30764,4336793747087975040,14406810783124988558,5213,5,false
1649785352825076,3005556986,3701,283,4400,66735,1181986652959112272,13471466888690012412,7964,5,false
1649785352825399,2749652799,871,627,9742,15747,9129648777449487218,4572233117699456417,4977,3,false
1649785352825677,3774306563,3221,786,7045,56507,2428792229582543191,15529500621302669042,5376,4,false
1649785352825973,1754830263,437,571,7232,20532,9195017542706048759,12011381714448743955,4012,6,false
1649785352826244,2095608569,753,951,1874,75366,355184042473541528,13228977846125310492,2453,1,false
1649785352826632,3682122138,185,683,1140,57213,1254742472393850418,15555080712020552715,2983,6,false
1649785352827078,3727087171,3782,371,817,96590,6291869825353730517,909457355491401194,6321,4,false
1649785352827543,2914853883,253,452,6274,21280,251786325628981554,7747490830357050606,9008,5,false
1649785352827941,2073026715,1013,955,3876,42193,13557212697681121250,17323576772185330024,5429,1,false
1649785352828292,2589034106,2634,483,9064,77939,8975640320854659215,4246180773311012002,2117,1,false
1649785352828570,2770928790,2741,678,1349,20203,18245331722798816420,12015803747288921096,9446,6,false
1649785352828921,2232464892,3841,693,4162,56796,14366835537678652504,8595342319157270932,3766,4,false
1649785352829236,4268575121,1913,960,8284,38341,5008475648795189150,15689986485595159032,6492,3,false
1649785352829516,3448808683,1725,598,9681,5809,14739105851771045917,17382522705496604033,2317,3,false
1649785352829790,420041835,3047,847,2662,59083,3628505536998170908,12866376371717064513,6151,2,false
1649785352830077,878654375,3354,109,6743,30527,17450688452419143585,10603028952417974609,3627,1,false
1649785352830376,259653537,866,147,3248,57300,13770439061824412801,13469035919048933620,8279,5,false
1649785352830718,1900375567,3120,759,6220,16524,9413914278934009007,8280057325151203107,8537,1,false
1649785352831073,4175610160,3048,166,1211,3274,14377482552507648987,3213611731916840743,5348,2,false
1649785352831370,905182088,1784,114,625,26181,12853780521102272089,9050855202686687039,9764,5,false
